epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1737,1.90555,2.30887,1.32132,0.3078,0.57143,0.27308,0.12533,2.0574,3.35552,1.59709,0.0011882,0.0011882,0.0011882
43,1779.45,2.11394,2.27192,1.33614,0.36427,0.42857,0.30118,0.15023,2.04329,3.317,1.63927,0.0011684,0.0011684,0.0011684
44,1819.02,1.98006,2.35712,1.42207,0.59366,0.57143,0.61976,0.3193,1.57843,2.85143,1.62614,0.0011486,0.0011486,0.0011486
45,1857.57,1.90737,2.25468,1.34052,0.82808,0.69175,0.74325,0.29643,1.82244,2.70049,1.77098,0.0011288,0.0011288,0.0011288
46,1896.58,1.88157,2.23153,1.38333,0.65258,0.54125,0.63955,0.26906,1.98672,2.88136,1.76378,0.001109,0.001109,0.001109
47,1935.28,2.08916,2.20747,1.38003,0.64824,0.53195,0.65195,0.33307,1.84158,2.86803,1.6642,0.0010892,0.0010892,0.0010892
48,1973.51,1.94857,2.04009,1.41922,0.7126,0.70923,0.75416,0.16601,2.13023,2.66618,1.75288,0.0010694,0.0010694,0.0010694
49,2011.95,1.87384,1.98698,1.36145,0.68695,0.57143,0.72833,0.14504,2.34339,2.74099,1.7251,0.0010496,0.0010496,0.0010496
50,2051.31,1.95845,2.30741,1.4454,0.7332,0.42857,0.55107,0.15127,2.22811,2.61193,1.60343,0.0010298,0.0010298,0.0010298
51,2090.34,1.93094,2.15941,1.29371,0.63019,0.42857,0.53212,0.23005,2.12365,2.76877,1.59044,0.00101,0.00101,0.00101
52,2127.08,1.95709,2.03632,1.27718,0.96825,0.28571,0.46743,0.16887,1.95606,2.98147,1.40757,0.0009902,0.0009902,0.0009902
53,2164.53,1.78758,2.04028,1.23317,0.91765,0.28571,0.49719,0.18219,1.81812,3.0576,1.43491,0.0009704,0.0009704,0.0009704
54,2203.69,1.89108,2.0098,1.27508,0.74091,0.413,0.5508,0.17473,1.98464,3.03544,1.48442,0.0009506,0.0009506,0.0009506
55,2242.33,1.78308,1.91158,1.26787,0.69715,0.42857,0.51864,0.14155,2.33237,2.91551,1.49784,0.0009308,0.0009308,0.0009308
56,2289.76,1.76185,1.98631,1.21535,0.74711,0.42363,0.50492,0.2174,2.1223,2.60863,1.4057,0.000911,0.000911,0.000911
57,2338.59,1.4614,3.05846,1.03595,0.71382,0.42857,0.50153,0.21104,2.1247,2.48189,1.45948,0.0008912,0.0008912,0.0008912
58,2391.31,1.99109,1.9744,1.3065,0.73415,0.42857,0.50241,0.23131,2.20096,2.51278,1.48439,0.0008714,0.0008714,0.0008714
59,2445.01,2.23776,2.51269,1.65715,0.53332,0.65711,0.63071,0.2796,2.06226,2.48948,1.46918,0.0008516,0.0008516,0.0008516
